id,heart-rate,variance,target
1,57,0,
2,58,1,
3,58,0,
4,58,0,
5,58,0,
6,64,6,
7,60,-4,
8,58,-2,
9,57,-1,
10,58,1,
11,57,-1,
12,58,1,
13,57,-1,
14,55,-2,
15,55,0,
16,55,0,
17,55,0,
18,54,-1,
19,55,1,
20,54,-1,
21,55,1,
22,54,-1,
23,54,0,
24,54,0,
25,55,1,
26,54,-1,
27,55,1,
28,55,0,
29,56,1,
30,55,-1,
31,53,-2,
32,53,0,
33,54,1,
34,53,-1,
35,53,0,
36,54,1,
37,54,0,
38,55,1,
39,56,1,
40,56,0,
41,57,1,
42,59,2,
43,61,2,
44,62,1,
45,62,0,
46,62,0,
47,77,15,
48,65,-12,
49,60,-5,
50,62,2,
51,63,1,
52,60,-3,
53,58,-2,
54,57,-1,
55,56,-1,
56,57,1,
57,58,1,
58,59,1,
59,58,-1,
60,59,1,
61,57,-2,
62,58,1,
63,58,0,
64,57,-1,
65,56,-1,
66,55,-1,
67,56,1,
68,56,0,
69,57,1,
70,58,1,
71,57,-1,
72,56,-1,
73,55,-1,
74,54,-1,
75,54,0,
76,54,0,
77,55,1,
78,54,-1,
79,56,2,
80,55,-1,
81,56,1,
82,57,1,
83,56,-1,
84,55,-1,
85,56,1,
86,57,1,
87,56,-1,
88,55,-1,
89,57,2,
90,56,-1,
91,55,-1,
92,54,-1,
93,56,2,
94,55,-1,
95,59,4,
96,62,3,
97,65,3,
98,60,-5,
99,59,-1,
100,60,1,
101,59,-1,
102,56,-3,
103,58,2,
104,58,0,
105,57,-1,
106,61,4,
107,61,0,
108,62,1,
109,61,-1,
110,60,-1,
111,59,-1,
112,58,-1,
113,59,1,
114,60,1,
115,57,-3,
116,59,2,
117,58,-1,
118,57,-1,
119,58,1,
120,61,3,
121,63,2,
122,62,-1,
123,59,-3,
124,57,-2,
125,58,1,
126,59,1,
127,61,2,
128,59,-2,
129,56,-3,
130,57,1,
131,58,1,
132,61,3,
133,64,3,
134,62,-2,
135,58,-4,
136,59,1,
137,60,1,
138,63,3,
139,64,1,
