id,heart-rate,variance,target
1,57,0,1
2,58,1,1
3,58,0,1
4,58,0,1
5,58,0,1
6,64,6,1
7,60,-4,1
8,58,-2,1
9,57,-1,1
10,58,1,1
11,57,-1,1
12,58,1,1
13,57,-1,1
14,55,-2,1
15,55,0,1
16,55,0,1
17,55,0,1
18,54,-1,1
19,55,1,1
20,54,-1,1
21,55,1,1
22,54,-1,1
23,54,0,1
24,54,0,1
25,55,1,1
26,54,-1,1
27,55,1,1
28,55,0,1
29,56,1,1
30,55,-1,1
31,53,-2,1
32,53,0,1
33,54,1,1
34,53,-1,1
35,53,0,1
36,54,1,1
37,54,0,1
38,55,1,1
39,56,1,1
40,56,0,1
41,57,1,1
42,59,2,1
43,61,2,1
44,62,1,1
45,62,0,1
46,62,0,1
47,77,15,1
48,65,-12,1
49,60,-5,1
50,62,2,1
51,63,1,1
52,60,-3,1
53,58,-2,1
54,57,-1,1
55,56,-1,1
56,57,1,1
57,58,1,1
58,59,1,1
59,58,-1,1
60,59,1,1
61,57,-2,1
62,58,1,1
63,58,0,1
64,57,-1,1
65,56,-1,1
66,55,-1,1
67,56,1,1
68,56,0,1
69,57,1,1
70,58,1,1
71,57,-1,1
72,56,-1,1
73,55,-1,1
74,54,-1,1
75,54,0,1
76,54,0,1
77,55,1,1
78,54,-1,1
79,56,2,1
80,55,-1,1
81,56,1,1
82,57,1,1
83,56,-1,1
84,55,-1,1
85,56,1,1
86,57,1,1
87,56,-1,1
88,55,-1,1
89,57,2,1
90,56,-1,1
91,55,-1,1
92,54,-1,1
93,56,2,1
94,55,-1,1
95,59,4,1
96,62,3,1
97,65,3,1
98,60,-5,1
99,59,-1,1
100,60,1,1
101,59,-1,1
102,56,-3,1
103,58,2,1
104,58,0,1
105,57,-1,1
106,61,4,1
107,61,0,1
108,62,1,1
109,61,-1,1
110,60,-1,1
111,59,-1,1
112,58,-1,1
113,59,1,1
114,60,1,1
115,57,-3,1
116,59,2,1
117,58,-1,1
118,57,-1,1
119,58,1,1
120,61,3,1
121,63,2,1
122,62,-1,1
123,59,-3,1
124,57,-2,1
125,58,1,1
126,59,1,1
127,61,2,1
128,59,-2,1
129,56,-3,1
130,57,1,1
131,58,1,1
132,61,3,1
133,64,3,1
134,62,-2,1
135,58,-4,1
136,59,1,1
137,60,1,1
138,63,3,1
139,64,1,1
140,61,-3,1
141,58,-3,1
142,59,1,1
143,58,-1,1
144,59,1,1
145,61,2,1
146,60,-1,1
147,57,-3,1
148,56,-1,1
149,59,3,1
150,60,1,1
151,61,1,1
152,63,2,1
153,62,-1,1
154,60,-2,1
155,64,4,1
156,64,0,1
157,66,2,1
158,65,-1,1
159,66,1,1
160,64,-2,1
161,66,2,1
162,69,3,1
163,63,-6,1
164,62,-1,1
165,62,0,1
166,61,-1,1
167,62,1,1
168,59,-3,1
169,56,-3,1
170,55,-1,1
171,56,1,1
172,58,2,1
173,59,1,1
174,58,-1,1
175,61,3,1
176,63,2,1
177,60,-3,1
178,59,-1,1
179,57,-2,1
180,56,-1,1
181,55,-1,1
182,56,1,1
183,56,0,1
184,58,2,1
185,56,-2,1
186,57,1,1
187,58,1,1
188,60,2,1
189,62,2,1
190,61,-1,1
191,60,-1,1
192,59,-1,1
193,57,-2,1
194,55,-2,1
195,54,-1,1
196,55,1,1
197,58,3,1
198,56,-2,1
